strategyId,strategyName,strategyFamily,status,identitySource,sourceType,direction,timeframe,evidenceLevel,evidenceCompleteness,evidenceArtifactCount,tradeEvidenceAvailable,workflowRunId,failureCategory,failureSummary
strategy_version_161c4b3d866ad1cc7d500791a4d7d188f4a2371463ac05fcdad5ffd46c64cee6,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3 · 自动优化 2/3,event_1d_oversold_sweep_reclaim_atr12_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_abb75d76473b64e745b3a96911ebb8d95df45b7187c02ca566b445e69c01f175,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_24a8b0e0d1b5d871b487fa2827be138d5b1eb572ff76be176145368348d7f4ee,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_oversold_sweep_reclaim_atr12_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_7a2c848922ce01f6bac371b50c5cdbc46bce9a008cdd640754c075435e3483ea,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_c308c66aeb070009e17ff1eaeb63177d4c17647c6679ca13d8dd49a011d84085,1D 超卖扫低收回 ATR1.2 影子,event_1d_oversold_sweep_reclaim_atr12_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,1d,2,1.0,1,False,workflow_run_25d3a6addcc04febc79e59730b4361d72f08c33940e49b5bb80715c496e5ee1d,strategy_performance,"Backtest gates failed: maximumDrawdown, minimumProfitFactor"
strategy_version_d60318ed12b046daf11532980d9ee32d351bf4768de70643064b4dfb1668da13,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3,event_1d_oversold_sweep_reclaim_atr12_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_4330f92fd4f40fe40dc64086c93a7a5bad68e3f39dd1ef06628fbc958ca46881,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_50f9997f897aed3273c0ad22e23c1498919e1969e2d4c4b2717c9a77bb2dafdb,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3,event_1d_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_493ab18e1035d466b3e1719650f8ef16e321ac6ea2849ea521739061edd55aaf,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_a80c785eebf379a311de35b1697e39956849177a157f2d789aaeed433f3a80e3,1D 趋势压缩释放 ATR2.0,event_1d_squeeze_breakout_atr20_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,1d,2,1.0,1,False,workflow_run_22cbad0fc1da51af12be3875b699885320801526c41299085f38ed0743954355,strategy_performance,Backtest gates failed: maximumDrawdown
strategy_version_d4d841276584aca7194e5a5c2fa51377333218a9d6b0f69a0fee58c8207f9386,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_70b1d114d9047ed3f739d3ddf68e8be023a4c911515d84ebcd8cd4409f8f83e9,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor"
strategy_version_def8b042c06cdf847dd71ca9be009465b18c1d281692f8a09cc06ab42d8c01ed,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_squeeze_breakout_atr20_v1,archived,registry_version,bounded_auto_optimization_v1,long,1d,2,0.0,1,False,workflow_run_f9a2fe836588b4a25507b6147dc7a9f5bbfd44d76c1dda22737d00cfb594d8bc,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor"
strategy_version_b1f514eeea7d2a74d3600ac81e904cd4e856a069e022f2119ddd8e371105a890,4H 牛市恢复收回 ATR1.5 持有24,event_4h_bull_recovery_atr15_h24_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,4h,2,1.0,1,False,workflow_run_fe43662f7759ac1afca15436f1d5ab4da93694e5f0ae26250cd2d0f2de989919,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
strategy_version_b6d73bdeb0780cb33b6b5575ab274e073e904378053600657b59f3b4e92e3833,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr15_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_23176d3ac7c1bb3993471d71f8d9d8063cad8dbf2d5ad828f86df5dec847d846,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_cf8af866637ba9ab2ef5c9b5e1b02e8f867bd045c057f791ba5420ea1ba7001c,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr15_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_28fb5e0a48211d7576a97f1c8f6fedfa20991b4db26d81ea942d52750b63e0be,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_f1df88d2400a1323e843d328bab257b3f4b71638ed9cf56f0b71e38b2a984add,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr15_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_19e6162d0a5eb8d4d4d920e6c8a841479a4ac7fec4a260ed8d65ccf6542336c3,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_1fd24b16d5b80cefc1d5cd721feeb689d7cf7e7867164eaf88b5c9264dcf62ca,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr18_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_05f6ae5026b2512c3bf450daad8750505087acd648fd8f0831463f58829e14d8,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_6580234872b085574493975bce8f8b3e6b186f63b1e929de9052752a90d90ac5,4H 牛市恢复收回 ATR1.8 持有24,event_4h_bull_recovery_atr18_h24_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,4h,2,1.0,1,False,workflow_run_39c262b609bf3a52aedd3b95ec389e3048eb9ed187e809ad512123367a655db4,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
strategy_version_93de266822ad32cff679d3b44838dc07cebe18524dcf481b3228e5f3ac678e01,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr18_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_f2c67bf867ebf54308bf1ab4758cfe556907c0734120fcf881450e5335689153,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_a6d3d076adbf69cb4672db3369d7052a82def12b13b9f322201ece7473cc0e56,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr18_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_2b4e106c7b269e45ff9de1cfddb83f9be30032c5bd653305594a113aa81e4061,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_215d29c941611ddf0d16158f24ba9aa417959f4b07eeef03efa913c061d1be86,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_44616354a8136dd590b50092b28cb5f3a81925a03dca710281449ce0aacbc0d8,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_3333d13e1341a84795ec19c8bd6ce8a08de5a06e5058e4623dce3bb4f05cd346,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr20_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_e83469123b96d52b6cff9caf4a7137dc9b0958819b61bbae0227f4b36dd0d7c4,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_ae40a1bece7e086d651b501745c96d2ce0c92d4764a8cdf3103b379c25a2ab0b,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h24_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_ccc5d817ec5f3c9586c6f67998135831e5805541dae2a20ccc6e001bf9dfb46a,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_def3abcc430827e0b9a0b4d82354bd97b609a909ed9cfa566da832348a28c29d,4H 牛市恢复收回 ATR2.0 持有24,event_4h_bull_recovery_atr20_h24_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,4h,2,1.0,1,False,workflow_run_e7edbb0f4e0b17480c9625c74adf7cac5b52d9e92a88ce115d493680261a2a90,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
strategy_version_07b1418e7bd677f369d4324107846eb7e89e37418259510f43c24b81264e2066,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h30_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_c45c3d39cf8a48f5efcd5535dc60ba9ffe37aedb2d35c12547cf5af3bf03b108,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_4bad11c8c9421bb6ad2e14dc21443f03ebc8e06de44e78ef66cb3dea203696d2,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3,event_4h_bull_recovery_atr20_h30_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_d23f2a7d86db65e1a0ba22fb0c09d1fc44a8eb23e5961d3bdd6eb8875d487250,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_6cf37c25ddfbeac31172f995d0f943d7ef1cf7412a6e142320aca30a813e6a9e,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h30_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_40095c9adc105639f1ce5b90dda50bc3c30049400d2064c0aa9f3026ed8e5cd8,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_9d6fc684a332bf985f820e2bb9e36e55991300dc96fb3a6f4f448aa645e7f7bb,4H 牛市恢复收回 ATR2.0 持有30,event_4h_bull_recovery_atr20_h30_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,4h,2,1.0,1,False,workflow_run_9416f80238c01c9f476d050cf6016ba9e2a1f4b561d725674e7c58a52c7f8646,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
strategy_version_31987e8107f5a7abef67f3a6d124d5c391e84ca071f444bb89b1e7f8201c0ea3,4H 牛市恢复收回 ATR2.0 持有36 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h36_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_45d170e557c3b85d54fc839db2ce0a5eb2ade88313a4e1bfe67b5ebc76c20c8d,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_e4ec831cb4a7746c8ca408759ee34911f495ac3d8001b1a9ca938c7afb9c72ab,4H 牛市恢复收回 ATR2.0 持有36 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h36_v1,archived,registry_version,bounded_auto_optimization_v1,long,4h,2,0.0,1,False,workflow_run_32ac33f65d56aa731b53a0f631a037a8f226804ae75f7408213c3ff4c4956e98,strategy_performance,"Backtest gates failed: selectionCostStress, selectionMaximumDrawdown, selectionMinimumProfitFactor, selectionPositiveAverageNetR"
strategy_version_efb4f03f80fe19c7c18f6eae171c99a2fc5aeb7928c771d0a406de74f8fe6599,4H 牛市恢复收回 ATR2.0 持有36,event_4h_bull_recovery_atr20_h36_v1,archived,registry_version,cross_timeframe_research_pack_v13_27_18,long,4h,2,1.0,1,False,workflow_run_fca137dd74f328ca196cd1971b6b859def9c17257a9644be61eecff3f2dae093,strategy_performance,"Backtest gates failed: costStress, maximumDrawdown, minimumProfitFactor, positiveAverageNetR"
